,Title,Tomatometer,Audience score,Rating,Genre,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Production Co
0,On The Rocks,86%,50%,R(SomeLanguage|SexualReferences),comedy,SofiaCoppola,"SofiaCoppola,YoureeHenley",SofiaCoppola,"Oct2,2020 limited","Oct23,2020",1h36m,"A24,AmericanZoetrope"
1,That Good Night,55%,NaN,,drama,EricStyles,,CharlesSavage,,"Nov3,2020",1h32m,GSPStudios
2,Ryuichi Sakamoto: Coda,98%,85%,,"music,documentary",StephenSchible,,,"Jul6,2018 limited","Apr24,2019",1h41m,"AVROTROS,NHK"
3,Wolfman's Got Nards,100%,82%,,"horror,documentary",AndreGower,"NicholasCaprio,SarbaDas,RitaDoumar,MatthewCharlesDucey,AndreGower,CarlenaGower,AaronKunkel","AndreGower,HenryDarrowMcComas",,"Oct27,2020",1h31m,
4,The Informer,62%,56%,R(StrongViolence|PervasiveLanguage),"crime,mysteryandthriller,drama",AndreaDiStefano,"WayneMarcGodfrey,JamesHarris,BasilIwanyk,RobertJones,MarkLane,EricaLee","MatthewCook,RowanJoffe,AndreaDiStefano",,"Nov6,2020",1h53m,"MaddemFilms,thefyzz,ImaginationParkEntertainment,ThunderRoadPictures"
5,The Place Of No Words,69%,NaN,,drama,MarkWebber,"DustinHughes,KaiLillie,TeresaPalmer,MarkWebber",MarkWebber,"Oct23,2020 limited","Oct23,2020",1h35m,"MythicalFilms,WideAwakeCinema"
6,Nomad: In The Footsteps Of Bruce Chatwin,92%,NaN,,documentary,WernerHerzog,"SteveO'Hagan,LuckiStipetic",WernerHerzog,"Apr8,2020 limited","Oct25,2020",1h29m,
7,Terra Willy: Unexplored Planet (Astro Kid),100%,75%,PG(SomeMildPeril),"animation,comedy,scifi,adventure,kidsandfamily",EricTosti,Jean-FrançoisTosti,"DavidAlaux,EricTosti,Jean-FrançoisTosti","Oct23,2020 limited","Oct27,2020",1h29m,"FranceTélévisions,Procirep,France3Cinéma,OCS,CentreNationalduCinémaetdeL'imageAnimée,AgenceNationaledeGestiondes?uvresAudiovisuelles,BacFilms,Ciné+,TatProductions,LogicalPictures,SACEM,RégionOccitanie/Pyrénées-Méditerranée,MasterFilms"
8,The True Adventures Of Wolfboy,78%,62%,PG-13(SomeStrongLanguage|Drinking|SexualReferences|MatureThematicContent|Violence),drama,MartinKrejcí,"DeclanBaldwin,LaurenBeck,BenjaminBlake,JoshGodfrey,KimberlySteward",OliviaDufault,,"Oct30,2020",1h28m,"BigIndiePictures,KPeriodMedia"
9,Last Call,81%,NaN,,drama,GavinMichaelBooth,"GavinMichaelBooth,DavedWilkins","DavedWilkins,GavinMichaelBooth","Sep25,2020 limited","Oct27,2020",1h17m,MimeticEntertainment
10,Assholes: A Theory,100%,NaN,,documentary,JohnWalker,"AnnBernier,AnnetteClarke,JohnWalker",,"Oct30,2020 limited","Nov6,2020",1h21m,"NationalFilmBoardofCanada,DocumentaryChannel,JohnWalkerProductions"
11,Bad Hair,62%,43%,,"horror,comedy",JustinSimien,"JuliaLebedev,AngelLopez,JustinSimien,EddieVaisman",JustinSimien,,"Oct23,2020",1h42m,SightUnseenPictures
12,His House,100%,79%,,"mysteryandthriller,drama",RemiWeekes,AidanElliott,,,"Oct30,2020",1h30m,"NewRegencyPictures,BBCFilms"
13,After We Collided,17%,92%,R(SexualContent|LanguageThroughout|SomeDrugMaterial),"drama,romance",RogerKumble,"MarkCanton,NicolasChartier,JenniferGibgot,BrianPitt,CourtneySolomon,AnnaTodd","AnnaTodd,MarioCelaya","Oct23,2020 limited","Oct23,2020",1h47m,"CalMaple,FrayedPagesEntertainment"
14,The Craft: Legacy,45%,35%,PG-13(ThematicElements|BriefDrugMaterial|Language|CrudeandSexualContent),"fantasy,mysteryandthriller",ZoeListerJones,"JasonBlum,LucyFisher,DouglasWick",ZoeListerJones,,"Oct28,2020",1h37m,"ColumbiaPictures,BlumhouseProductions,RedWagonEntertainment"
